amount,history,high_amount,frequent_claims,domain_health,domain_vehicle,domain_life,domain_financial,non_network,high_damage,early_policy,income_mismatch,fraud
39816,1,0,0,0,1,0,0,0,0,0,0,0
462391,0,1,0,0,0,0,1,0,0,0,1,0
27962,0,0,0,0,0,1,0,0,1,0,0,0
123228,0,1,0,1,0,0,0,0,0,0,0,0
188124,5,1,1,0,0,0,1,0,0,0,0,1
68532,0,0,0,0,0,1,0,1,0,0,0,0
25181,0,0,0,1,0,0,0,0,0,0,0,0
116208,1,1,0,0,1,0,0,1,0,0,0,0
50236,0,0,0,0,0,0,1,0,0,1,0,0
172435,2,1,0,0,0,1,0,0,1,0,1,0
64890,0,0,0,0,0,0,1,0,0,0,0,0
455825,2,1,0,0,0,0,1,0,0,0,0,0
44251,2,0,0,0,0,0,1,0,0,0,0,0
55140,1,0,0,0,1,0,0,0,1,0,0,0
50293,5,0,1,0,1,0,0,0,0,0,0,0
354785,0,1,0,0,0,1,0,0,0,0,0,0
110162,1,1,0,0,0,1,0,0,0,0,0,0
84373,0,0,0,0,0,1,0,0,0,0,0,0
113681,2,1,0,0,0,1,0,1,1,0,0,0
492192,0,1,0,0,0,0,1,0,0,0,0,0
78584,0,0,0,0,1,0,0,0,0,0,0,0
35775,2,0,0,0,0,0,1,0,0,0,0,0
53566,0,0,0,0,0,1,0,0,0,0,0,0
438402,0,1,0,1,0,0,0,0,0,0,0,0
24340,1,0,0,0,1,0,0,0,0,0,0,0
111186,0,1,0,0,0,1,0,0,0,0,0,0
34038,3,0,0,1,0,0,0,0,0,0,0,0
138138,0,1,0,0,0,0,1,0,0,0,0,0
61387,0,0,0,0,0,0,1,0,1,0,0,0
45963,1,0,0,1,0,0,0,0,0,0,0,0
78608,0,0,0,1,0,0,0,0,0,0,0,0
68201,0,0,0,0,1,0,0,0,0,0,0,0
40054,0,0,0,1,0,0,0,0,0,0,0,0
74531,0,0,0,1,0,0,0,0,0,0,0,0
40665,0,0,0,1,0,0,0,0,0,0,0,0
45425,0,0,0,0,0,0,1,0,0,1,0,0
54834,0,0,0,0,0,0,1,0,0,0,0,0
59747,0,0,0,0,0,0,1,0,1,0,0,0
56873,2,0,0,0,0,0,1,0,0,0,0,0
24194,0,0,0,0,1,0,0,0,0,0,0,0
162210,0,1,0,0,0,1,0,0,0,0,0,0
90057,1,0,0,0,0,1,0,1,0,0,0,0
70715,0,0,0,0,0,1,0,0,0,0,0,0
42079,0,0,0,0,1,0,0,0,0,0,0,0
23537,2,0,0,0,1,0,0,0,0,0,0,0
60496,0,0,0,1,0,0,0,0,0,0,0,0
75748,1,0,0,1,0,0,0,1,0,0,0,0
85726,0,0,0,0,1,0,0,0,0,0,0,0
105430,0,1,0,0,0,0,1,1,1,0,1,1
86839,1,0,0,0,1,0,0,1,0,0,0,0
92021,3,0,0,0,1,0,0,0,0,0,0,0
17987,1,0,0,1,0,0,0,0,0,1,0,0
82490,0,0,0,1,0,0,0,0,0,0,0,0
70513,0,0,0,0,0,0,1,0,0,0,0,0
52265,0,0,0,1,0,0,0,0,0,0,1,0
125193,0,1,0,0,0,1,0,0,0,0,0,0
22675,0,0,0,0,0,0,1,0,0,0,1,1
30048,0,0,0,0,0,0,1,1,0,0,0,0
70211,0,0,0,0,1,0,0,0,0,0,0,0
45173,0,0,0,0,0,1,0,0,0,0,0,0
58242,0,0,0,1,0,0,0,0,0,0,0,0
79349,0,0,0,0,0,1,0,0,0,0,0,0
213586,1,1,0,0,1,0,0,0,0,0,0,0
139250,0,1,0,0,1,0,0,0,1,1,0,0
171779,1,1,0,0,1,0,0,0,0,0,0,0
152305,0,1,0,0,0,0,1,1,0,0,0,0
63979,0,0,0,0,0,1,0,0,0,0,0,0
34552,0,0,0,0,1,0,0,1,0,0,0,0
25210,0,0,0,0,1,0,0,0,1,0,0,0
8969,0,0,0,0,0,0,1,0,0,0,0,0
31741,0,0,0,0,0,0,1,0,0,0,0,0
21059,0,0,0,0,0,1,0,0,0,0,0,0
25885,0,0,0,0,0,1,0,0,0,0,1,0
69866,0,0,0,1,0,0,0,0,0,0,0,0
78638,0,0,0,0,0,0,1,0,0,0,0,0
52920,1,0,0,0,0,1,0,0,0,0,0,0
46750,0,0,0,0,1,0,0,1,0,0,0,0
19366,5,0,1,1,0,0,0,0,0,0,0,0
54832,0,0,0,0,1,0,0,0,0,0,0,0
176447,1,1,0,0,0,0,1,0,0,0,0,0
39650,1,0,0,0,0,1,0,0,0,1,0,1
40842,0,0,0,0,0,1,0,0,0,1,0,1
67793,0,0,0,0,0,0,1,0,0,0,0,0
59172,0,0,0,0,1,0,0,0,0,0,0,0
117649,0,1,0,0,1,0,0,0,1,0,0,0
219052,5,1,1,0,1,0,0,0,0,0,1,0
97589,2,0,0,0,0,0,1,0,0,0,0,0
58148,1,0,0,0,1,0,0,0,0,0,0,0
358306,0,1,0,0,0,1,0,0,0,0,0,0
43671,0,0,0,0,0,1,0,0,1,0,0,0
169173,1,1,0,0,1,0,0,1,0,0,0,0
24641,0,0,0,0,1,0,0,1,0,0,0,0
12567,0,0,0,0,0,0,1,0,0,0,0,0
12897,2,0,0,1,0,0,0,0,1,0,0,0
75687,0,0,0,0,0,0,1,1,0,0,0,0
35102,0,0,0,0,0,0,1,0,0,0,0,0
11380,0,0,0,1,0,0,0,0,0,0,0,0
23777,4,0,1,0,0,1,0,0,0,0,1,0
58511,0,0,0,0,0,1,0,0,0,0,0,0
22575,0,0,0,0,0,0,1,0,0,0,0,0
104662,1,1,0,1,0,0,0,0,0,0,0,0
178871,0,1,0,1,0,0,0,0,0,0,0,0
72215,2,0,0,0,0,1,0,0,1,0,0,0
77523,2,0,0,0,1,0,0,0,0,0,0,0
457213,0,1,0,0,0,0,1,0,0,0,1,1
225435,1,1,0,1,0,0,0,0,0,0,0,0
7061,0,0,0,0,0,0,1,0,0,0,0,0
17624,0,0,0,0,1,0,0,0,0,0,1,0
15566,1,0,0,0,1,0,0,1,0,0,0,0
48420,0,0,0,0,0,0,1,1,0,0,0,0
153860,1,1,0,0,0,1,0,0,0,0,1,0
56007,1,0,0,0,1,0,0,0,0,0,0,0
56996,3,0,0,1,0,0,0,0,0,0,0,0
118715,1,1,0,1,0,0,0,0,0,0,0,0
40358,0,0,0,0,0,1,0,0,0,0,0,0
55829,1,0,0,1,0,0,0,0,0,0,0,0
41170,0,0,0,1,0,0,0,0,0,0,0,0
54792,1,0,0,0,0,0,1,0,0,0,0,0
162955,0,1,0,0,0,1,0,0,0,0,0,0
442022,3,1,0,1,0,0,0,0,0,0,0,1
183425,0,1,0,0,1,0,0,0,0,1,0,0
37536,1,0,0,1,0,0,0,0,0,0,1,0
71935,1,0,0,1,0,0,0,0,0,0,0,0
43722,0,0,0,1,0,0,0,1,0,0,0,0
44356,0,0,0,0,0,0,1,0,0,0,0,0
321559,1,1,0,0,0,0,1,0,0,0,0,0
13200,0,0,0,0,1,0,0,0,0,0,0,0
19972,0,0,0,0,0,0,1,0,0,0,0,0
71954,0,0,0,0,0,1,0,0,0,0,0,0
64113,1,0,0,0,1,0,0,1,1,0,0,0
138176,0,1,0,0,0,0,1,0,0,0,0,0
19838,0,0,0,0,0,0,1,0,0,0,0,0
9224,0,0,0,0,1,0,0,0,0,0,0,0
23249,1,0,0,0,0,0,1,0,1,0,1,1
469701,4,1,1,0,0,1,0,0,0,1,0,1
179807,1,1,0,0,0,1,0,0,0,0,0,0
68968,0,0,0,0,0,1,0,0,0,0,0,0
144843,0,1,0,0,0,0,1,0,0,0,0,0
5088,5,0,1,0,1,0,0,0,0,0,0,0
26695,0,0,0,0,0,1,0,0,0,0,0,0
50032,1,0,0,0,0,0,1,1,0,0,0,0
22451,1,0,0,0,1,0,0,0,0,0,0,0
91362,2,0,0,0,0,0,1,0,0,0,0,0
170502,0,1,0,0,0,1,0,0,0,0,0,0
14307,0,0,0,1,0,0,0,1,1,0,0,0
13851,0,0,0,1,0,0,0,0,1,0,0,0
45620,0,0,0,0,1,0,0,1,1,0,0,0
16300,2,0,0,0,1,0,0,0,0,0,0,0
50443,0,0,0,0,1,0,0,0,0,0,0,0
13371,0,0,0,0,0,0,1,1,0,0,0,0
168358,1,1,0,1,0,0,0,0,0,0,0,0
59967,0,0,0,1,0,0,0,0,1,0,0,0
236137,2,1,0,1,0,0,0,1,0,0,0,1
69665,4,0,1,0,1,0,0,0,0,1,0,0
129319,1,1,0,1,0,0,0,0,0,0,0,0
148125,0,1,0,0,1,0,0,1,0,0,0,0
39208,2,0,0,0,1,0,0,1,0,0,0,0
46160,0,0,0,0,1,0,0,0,1,0,0,0
47964,0,0,0,1,0,0,0,0,1,0,0,0
18357,1,0,0,0,1,0,0,0,0,0,0,0
13450,0,0,0,1,0,0,0,0,0,0,1,0
131773,0,1,0,0,0,0,1,0,0,0,0,0
77179,0,0,0,0,0,1,0,0,0,0,0,0
68527,0,0,0,0,0,1,0,0,0,0,0,0
252499,0,1,0,0,1,0,0,0,0,1,0,1
171439,0,1,0,0,0,1,0,0,0,0,0,0
16830,0,0,0,0,1,0,0,0,0,1,0,0
24360,0,0,0,0,0,1,0,1,0,1,0,1
429044,1,1,0,0,1,0,0,1,0,0,0,0
43602,0,0,0,0,0,0,1,0,1,1,0,0
18645,2,0,0,0,1,0,0,0,0,0,0,0
39761,0,0,0,0,0,1,0,0,0,0,1,0
54197,0,0,0,0,0,0,1,0,0,0,0,0
54212,0,0,0,1,0,0,0,0,1,1,0,0
18272,0,0,0,0,0,0,1,1,0,0,0,0
16485,0,0,0,0,0,1,0,0,0,0,0,0
39734,0,0,0,0,0,0,1,0,0,0,0,0
17675,0,0,0,1,0,0,0,0,0,0,1,0
35886,0,0,0,0,0,0,1,0,1,1,0,0
301043,0,1,0,0,1,0,0,0,1,0,0,1
41202,0,0,0,0,0,0,1,1,0,0,0,0
193701,0,1,0,1,0,0,0,0,0,0,0,0
48449,1,0,0,0,0,0,1,0,0,0,0,0
319515,0,1,0,1,0,0,0,1,0,0,0,1
147537,1,1,0,0,0,1,0,0,0,0,0,0
11626,2,0,0,0,1,0,0,0,0,0,0,0
448817,0,1,0,0,1,0,0,0,0,0,0,0
164853,0,1,0,0,1,0,0,0,0,0,0,0
45037,1,0,0,1,0,0,0,0,0,0,0,0
54051,0,0,0,1,0,0,0,0,0,0,0,0
72802,1,0,0,0,0,1,0,1,1,0,0,0
9629,0,0,0,0,0,0,1,1,0,0,0,0
190184,1,1,0,0,0,1,0,0,0,0,1,0
34272,1,0,0,1,0,0,0,0,0,0,0,0
30499,0,0,0,1,0,0,0,1,0,0,0,0
143908,0,1,0,0,1,0,0,1,0,0,0,0
61847,1,0,0,1,0,0,0,0,1,0,0,0
37613,0,0,0,1,0,0,0,1,0,0,0,0
22536,0,0,0,0,0,1,0,1,0,1,0,1
27149,0,0,0,1,0,0,0,0,0,0,0,0
20176,0,0,0,1,0,0,0,0,0,0,0,0
22978,0,0,0,0,0,1,0,1,0,0,0,0
58707,0,0,0,0,1,0,0,0,0,0,0,0
16807,1,0,0,0,0,0,1,0,0,0,0,0
127214,1,1,0,1,0,0,0,0,0,0,0,0
340671,2,1,0,0,0,0,1,0,0,0,0,0
12686,4,0,1,0,1,0,0,0,1,0,0,1
68979,0,0,0,0,1,0,0,0,0,0,0,0
17483,0,0,0,0,0,1,0,0,0,0,0,0
193956,0,1,0,0,0,0,1,0,0,0,0,0
138733,0,1,0,0,0,0,1,0,0,0,0,0
153706,0,1,0,0,0,1,0,0,1,0,0,0
94945,0,0,0,0,0,1,0,0,0,1,0,1
58636,0,0,0,0,1,0,0,0,0,0,0,0
139048,0,1,0,1,0,0,0,0,0,0,0,0
27760,1,0,0,0,1,0,0,0,0,0,0,0
98111,0,0,0,0,0,0,1,0,0,0,0,0
22389,4,0,1,0,0,1,0,0,0,0,0,0
135363,1,1,0,0,0,1,0,0,0,0,1,0
43684,0,0,0,1,0,0,0,0,0,0,0,0
11157,2,0,0,0,0,1,0,0,1,0,0,0
151645,1,1,0,0,0,1,0,0,0,0,1,0
41583,0,0,0,0,0,0,1,0,0,0,0,0
77110,0,0,0,0,0,1,0,0,0,0,0,0
32964,1,0,0,0,0,1,0,0,0,0,0,0
368263,0,1,0,0,1,0,0,0,0,0,0,0
30232,0,0,0,1,0,0,0,0,0,0,0,0
62047,1,0,0,0,1,0,0,1,0,0,0,0
133429,0,1,0,0,1,0,0,0,0,0,0,0
70907,0,0,0,1,0,0,0,0,0,1,0,0
191341,0,1,0,0,0,0,1,1,0,0,0,0
16157,0,0,0,0,0,0,1,0,1,1,0,0
28770,1,0,0,0,0,1,0,0,0,0,0,0
35740,0,0,0,0,0,1,0,0,1,0,0,0
46053,0,0,0,0,0,0,1,0,0,0,0,0
19264,0,0,0,0,0,1,0,0,0,0,0,0
155877,0,1,0,1,0,0,0,0,1,0,0,0
70683,0,0,0,0,0,1,0,0,0,0,0,0
79162,1,0,0,0,1,0,0,1,0,0,0,0
52349,0,0,0,0,1,0,0,1,0,0,0,0
79732,0,0,0,0,0,1,0,0,0,0,0,0
80864,0,0,0,0,0,0,1,0,0,0,0,0
48283,1,0,0,0,1,0,0,0,0,0,0,0
10136,2,0,0,0,1,0,0,0,0,0,0,0
66789,2,0,0,0,1,0,0,0,1,0,0,0
14023,0,0,0,0,0,0,1,0,0,1,0,0
149655,0,1,0,1,0,0,0,0,0,0,0,0
68192,1,0,0,0,0,0,1,0,0,0,0,0
5932,0,0,0,0,1,0,0,0,0,0,0,0
41118,5,0,1,0,0,0,1,0,0,0,0,0
138536,1,1,0,1,0,0,0,1,0,0,0,1
62065,0,0,0,0,1,0,0,0,0,1,0,0
62536,0,0,0,0,1,0,0,1,1,0,0,0
5037,4,0,1,0,0,1,0,1,0,0,0,0
153284,2,1,0,0,0,1,0,0,1,1,0,1
70951,0,0,0,1,0,0,0,1,0,0,1,0
181659,0,1,0,0,1,0,0,0,0,0,0,0
470796,0,1,0,0,0,0,1,0,0,0,0,0
40268,0,0,0,0,0,1,0,0,1,0,0,0
18983,0,0,0,0,0,1,0,0,1,0,0,0
195472,2,1,0,0,0,0,1,1,0,0,0,0
56605,2,0,0,1,0,0,0,0,0,0,0,0
39039,0,0,0,0,0,1,0,0,0,0,0,0
34958,1,0,0,0,1,0,0,0,1,0,0,0
72765,0,0,0,0,0,0,1,0,0,0,0,0
48864,0,0,0,1,0,0,0,0,0,0,0,0
71904,0,0,0,0,0,1,0,0,0,0,0,0
89351,0,0,0,0,0,0,1,0,0,0,0,0
29102,2,0,0,0,0,0,1,0,0,0,0,0
8455,1,0,0,0,0,0,1,0,1,0,0,0
22206,0,0,0,0,0,0,1,0,0,0,1,1
64840,1,0,0,0,1,0,0,0,0,0,0,0
39053,0,0,0,0,0,1,0,0,0,0,1,0
158250,0,1,0,0,0,0,1,0,0,0,0,0
72713,1,0,0,0,0,0,1,1,0,0,0,0
64682,1,0,0,0,0,1,0,0,0,0,0,0
175303,0,1,0,0,1,0,0,0,0,0,0,0
56435,0,0,0,0,1,0,0,0,0,0,0,0
17315,0,0,0,1,0,0,0,1,0,0,0,0
11827,2,0,0,0,0,1,0,0,0,0,0,0
67294,1,0,0,1,0,0,0,0,0,0,0,0
35497,0,0,0,1,0,0,0,0,0,0,0,0
62344,0,0,0,1,0,0,0,0,0,0,0,0
39517,0,0,0,0,1,0,0,0,0,0,0,0
75642,1,0,0,1,0,0,0,0,0,0,0,0
9099,0,0,0,0,1,0,0,0,0,0,0,0
32359,1,0,0,1,0,0,0,1,1,0,0,0
14225,1,0,0,0,0,1,0,0,0,0,0,0
78156,0,0,0,0,1,0,0,0,0,0,0,0
74979,5,0,1,0,0,1,0,1,1,0,0,0
77120,2,0,0,0,1,0,0,0,1,0,0,0
34083,0,0,0,0,0,1,0,0,0,0,0,0
53114,2,0,0,0,1,0,0,0,0,0,0,0
44373,0,0,0,1,0,0,0,0,0,0,0,0
191342,1,1,0,0,1,0,0,0,0,0,0,0
56495,4,0,1,0,1,0,0,0,0,0,0,0
97088,1,0,0,0,0,0,1,0,0,0,0,0
16743,0,0,0,0,0,0,1,0,0,0,0,0
62732,0,0,0,0,0,0,1,0,0,0,0,0
19585,0,0,0,0,0,1,0,0,0,0,0,0
74048,0,0,0,1,0,0,0,0,0,0,0,0
82500,0,0,0,0,0,1,0,1,0,0,0,0
65029,0,0,0,0,1,0,0,0,0,0,0,0
70700,0,0,0,0,0,1,0,0,0,0,1,0
16507,1,0,0,0,0,0,1,0,0,0,0,0
23163,0,0,0,0,1,0,0,0,0,0,0,0
78051,0,0,0,0,1,0,0,0,0,0,1,0
29632,0,0,0,0,0,1,0,0,0,0,0,0
66441,1,0,0,0,0,0,1,0,1,0,0,0
31585,1,0,0,0,0,0,1,0,1,0,0,0
54856,1,0,0,1,0,0,0,0,1,0,0,0
112207,0,1,0,1,0,0,0,0,0,0,0,0
60372,0,0,0,0,0,1,0,1,0,0,0,0
47396,0,0,0,0,1,0,0,0,0,0,0,0
16181,0,0,0,0,0,0,1,0,0,0,0,0
23953,0,0,0,0,1,0,0,0,0,1,0,0
38175,0,0,0,1,0,0,0,0,0,0,0,0
76741,0,0,0,1,0,0,0,0,0,0,0,0
16495,0,0,0,0,0,1,0,0,0,0,0,0
248824,1,1,0,0,0,1,0,0,0,0,0,0
73766,0,0,0,0,0,1,0,0,0,0,0,0
494982,0,1,0,0,0,1,0,0,0,0,0,0
107175,1,1,0,1,0,0,0,1,0,0,0,1
77088,0,0,0,0,0,1,0,0,0,0,0,0
184497,0,1,0,0,0,0,1,0,0,0,1,0
46353,0,0,0,0,0,1,0,0,0,0,0,0
26753,0,0,0,0,0,0,1,0,0,0,0,0
44625,0,0,0,0,0,1,0,0,0,0,0,0
148632,0,1,0,0,0,0,1,0,0,1,0,0
10771,1,0,0,1,0,0,0,0,0,0,0,0
30237,0,0,0,0,1,0,0,0,0,0,0,0
42128,0,0,0,0,0,1,0,0,0,0,0,0
63436,1,0,0,0,0,0,1,0,1,1,0,0
66000,0,0,0,0,0,1,0,1,0,0,0,0
19796,0,0,0,1,0,0,0,0,0,0,0,0
57535,0,0,0,0,0,1,0,0,0,0,0,0
35953,0,0,0,0,0,1,0,0,0,0,0,0
19253,1,0,0,0,0,0,1,0,0,0,0,0
166623,0,1,0,1,0,0,0,0,0,0,0,0
199946,0,1,0,0,0,0,1,0,0,0,0,1
41989,2,0,0,0,0,1,0,0,0,0,0,0
55409,1,0,0,0,1,0,0,0,0,0,0,0
22796,0,0,0,0,0,0,1,0,0,0,0,0
34588,0,0,0,0,0,0,1,0,0,0,0,0
68115,3,0,0,0,0,1,0,0,0,1,0,0
15234,1,0,0,1,0,0,0,0,0,0,0,0
43616,0,0,0,0,0,1,0,0,1,0,0,0
161830,0,1,0,0,0,1,0,0,0,0,0,0
24809,1,0,0,1,0,0,0,0,0,0,1,0
178665,5,1,1,0,1,0,0,0,0,0,0,0
44500,0,0,0,0,0,0,1,1,1,0,0,0
46377,3,0,0,0,0,0,1,0,0,1,0,0
56269,0,0,0,0,0,1,0,0,0,0,0,0
17805,0,0,0,1,0,0,0,0,0,0,1,0
95725,0,0,0,1,0,0,0,0,0,0,0,0
170730,2,1,0,0,0,1,0,0,0,0,0,0
14096,0,0,0,0,0,1,0,1,0,0,0,0
93538,0,0,0,0,0,0,1,0,0,0,1,1
198570,0,1,0,0,1,0,0,0,0,0,0,0
75163,2,0,0,0,0,0,1,0,0,1,0,0
118005,1,1,0,0,0,0,1,0,0,0,0,0
98342,0,0,0,0,0,0,1,0,1,0,0,0
12347,0,0,0,1,0,0,0,0,0,0,0,0
144080,1,1,0,1,0,0,0,0,1,0,0,0
88383,1,0,0,0,1,0,0,0,0,0,0,0
32948,1,0,0,0,1,0,0,0,0,0,0,0
54300,1,0,0,1,0,0,0,0,0,1,0,0
32021,0,0,0,0,0,0,1,0,0,0,0,0
5599,0,0,0,0,0,1,0,0,1,0,0,0
30391,0,0,0,0,1,0,0,0,1,0,0,0
64394,0,0,0,0,0,1,0,0,1,0,0,0
47688,0,0,0,0,0,1,0,0,0,0,0,0
64636,0,0,0,0,0,0,1,0,0,1,0,0
66018,0,0,0,0,1,0,0,0,0,0,0,0
73389,0,0,0,1,0,0,0,1,0,0,0,0
197735,0,1,0,0,1,0,0,1,0,0,0,0
36524,0,0,0,1,0,0,0,0,0,0,0,0
177948,0,1,0,0,0,0,1,1,0,0,0,0
48634,0,0,0,1,0,0,0,0,0,0,0,0
65994,1,0,0,1,0,0,0,0,0,0,0,0
179730,0,1,0,0,1,0,0,0,0,0,0,0
53253,1,0,0,0,0,1,0,1,0,0,0,0
41168,0,0,0,1,0,0,0,0,0,0,1,0
82815,0,0,0,0,0,0,1,0,0,0,0,0
79350,0,0,0,0,0,0,1,0,0,0,0,0
26075,1,0,0,0,1,0,0,0,1,0,0,0
9546,1,0,0,0,1,0,0,1,0,0,0,0
281816,0,1,0,0,0,0,1,0,1,0,0,0
197987,0,1,0,1,0,0,0,0,0,0,0,0
180544,0,1,0,0,1,0,0,0,0,1,0,0
127325,0,1,0,1,0,0,0,0,0,0,0,0
134474,1,1,0,0,0,0,1,0,0,0,0,0
54253,0,0,0,0,0,1,0,0,1,0,0,0
44582,1,0,0,0,0,0,1,0,0,0,1,1
69472,2,0,0,0,0,1,0,0,0,1,0,1
67395,4,0,1,0,0,1,0,0,0,0,0,0
52338,0,0,0,0,1,0,0,1,0,0,0,0
46446,1,0,0,0,1,0,0,0,0,0,0,0
26368,0,0,0,0,0,0,1,0,0,0,0,0
22200,2,0,0,1,0,0,0,0,0,0,0,0
20544,0,0,0,0,0,1,0,1,0,0,0,0
179265,0,1,0,1,0,0,0,0,0,0,0,0
307689,0,1,0,1,0,0,0,0,0,0,0,0
13957,0,0,0,0,1,0,0,0,0,1,0,0
29264,0,0,0,0,0,0,1,1,0,0,0,0
69987,1,0,0,1,0,0,0,0,0,0,0,0
58383,0,0,0,0,0,0,1,1,0,0,0,0
73506,1,0,0,1,0,0,0,0,0,1,0,0
60666,1,0,0,0,0,0,1,0,0,0,0,0
24316,1,0,0,0,0,0,1,0,0,1,0,0
47854,0,0,0,0,1,0,0,0,0,0,0,0
75848,0,0,0,0,0,1,0,1,0,0,0,0
101514,0,1,0,0,0,1,0,0,0,0,0,0
56299,0,0,0,0,1,0,0,0,0,0,0,0
161940,0,1,0,1,0,0,0,0,0,0,0,0
95003,0,0,0,1,0,0,0,0,0,0,0,0
398043,0,1,0,1,0,0,0,0,0,0,0,0
62146,0,0,0,0,0,1,0,0,1,0,0,0
17053,1,0,0,0,1,0,0,0,0,0,0,0
44309,0,0,0,0,0,1,0,0,0,0,0,0
32912,1,0,0,0,1,0,0,0,1,0,1,0
24365,0,0,0,0,1,0,0,0,0,0,0,0
35950,0,0,0,0,1,0,0,0,0,0,0,0
38868,1,0,0,0,0,1,0,0,0,0,0,0
168037,1,1,0,0,0,0,1,0,1,0,0,0
16829,0,0,0,0,0,1,0,0,0,0,1,0
40985,0,0,0,0,1,0,0,0,0,0,0,0
53200,1,0,0,0,1,0,0,0,1,0,0,0
52560,2,0,0,0,0,0,1,0,0,0,1,1
26001,2,0,0,0,1,0,0,0,0,0,0,0
194918,2,1,0,0,0,1,0,0,0,0,0,0
29083,1,0,0,1,0,0,0,0,0,0,0,0
169883,0,1,0,0,1,0,0,1,0,0,0,0
189403,2,1,0,0,0,0,1,0,1,0,0,0
61217,1,0,0,1,0,0,0,0,1,0,0,0
31626,0,0,0,0,0,0,1,1,0,0,0,0
58546,1,0,0,0,1,0,0,0,1,1,0,0
408433,1,1,0,0,0,1,0,0,0,0,0,0
71131,1,0,0,1,0,0,0,0,0,0,0,0
97290,0,0,0,0,0,1,0,0,0,0,0,0
39571,0,0,0,0,0,1,0,0,0,0,0,0
39108,0,0,0,0,1,0,0,0,0,0,0,0
17265,0,0,0,0,1,0,0,0,1,0,0,0
15070,0,0,0,0,1,0,0,0,0,0,0,0
65323,1,0,0,0,1,0,0,0,0,0,0,0
11380,1,0,0,0,1,0,0,0,0,0,0,0
57742,0,0,0,0,1,0,0,0,0,0,0,0
147194,0,1,0,1,0,0,0,0,0,0,0,0
49793,4,0,1,1,0,0,0,0,0,0,0,0
21749,1,0,0,0,0,1,0,0,0,0,0,0
79511,1,0,0,1,0,0,0,0,0,0,0,0
64637,1,0,0,0,0,1,0,0,0,0,0,0
7348,0,0,0,1,0,0,0,0,0,0,0,0
56773,1,0,0,0,0,1,0,0,0,0,0,0
192484,1,1,0,0,0,0,1,0,0,0,0,0
63918,0,0,0,0,0,0,1,0,0,0,1,1
57386,0,0,0,0,0,1,0,0,0,0,0,0
95327,0,0,0,0,0,0,1,1,0,0,0,0
445611,0,1,0,0,0,1,0,0,0,0,0,1
16297,1,0,0,0,1,0,0,0,0,0,0,0
39184,0,0,0,1,0,0,0,0,1,0,0,0
