domain,amount,history,hospital_network,damage_cost,policy_duration,income,loan_amount,fraud
Life,364808,0,0,87145,4.66,38849,408508,0
Financial,228153,4,0,44013,7.21,23693,192168,1
Financial,450292,1,1,38759,1.41,86429,345123,0
Vehicle,46758,1,0,17387,9.32,77950,149415,0
Health,401928,0,0,35340,0.0,95494,103822,1
Health,77103,5,1,78697,2.77,51717,349659,0
Vehicle,101767,2,1,16643,8.9,26476,312752,0
Life,45695,1,1,67514,3.69,67336,221920,0
Health,78337,4,1,16252,0.66,28506,462792,0
Vehicle,199768,2,1,34378,7.54,96078,418975,0
Life,125873,3,0,22461,0.2,26046,370263,1
Vehicle,347282,2,1,23921,2.38,94895,282143,0
Vehicle,498090,3,1,14820,7.97,21992,458869,0
Health,55976,0,1,95613,9.6,66254,427326,0
Financial,291213,2,0,37234,1.84,31228,385145,1
Health,79236,5,1,46080,3.62,92205,82512,0
Life,203100,4,0,86083,7.46,88469,479337,0
Financial,412840,2,0,68515,9.16,64756,263070,0
Life,172022,0,1,43600,0.98,97360,499617,1
Vehicle,8178,1,0,14089,2.41,43824,249796,0
Health,357156,2,0,16459,6.04,60117,91404,1
Vehicle,490187,4,1,30974,0.79,61319,481961,1
Health,376120,0,1,62223,5.41,49151,348238,0
Vehicle,494076,4,0,74275,5.93,43953,426764,1
Financial,248704,1,0,19838,6.67,98996,161538,0
Health,224877,0,0,34726,1.71,54371,466301,1
Life,299577,2,0,95348,9.57,97783,233285,0
Vehicle,441635,2,1,72818,8.22,64484,141711,1
Life,206967,5,1,65267,4.54,26466,257228,0
Financial,420276,0,1,72603,2.32,92216,496339,1
Health,387726,4,1,61874,9.93,68588,463801,0
Financial,490531,4,0,43223,9.83,97187,321211,0
Financial,499695,1,0,38519,1.02,29491,130609,0
Vehicle,232311,0,1,12461,8.75,66141,437909,0
Vehicle,451827,4,0,57624,3.74,50214,131190,1
Health,426954,5,0,72779,9.71,81105,375018,1
Vehicle,15831,3,0,43271,8.59,29810,386443,0
Life,244051,3,0,55938,2.95,51469,211786,0
Life,447746,5,1,35430,9.42,99471,282036,0
Life,262145,0,1,64597,2.18,56236,423501,0
Financial,407739,2,1,19975,0.47,39300,421105,1
Health,208370,0,1,14184,1.77,33132,166417,0
Health,35809,3,1,30134,8.22,90205,484170,0
Vehicle,76907,4,0,32225,0.99,43838,83558,1
Health,350006,1,1,28049,9.39,26030,383522,0
Health,137459,5,1,15197,7.35,88929,146821,0
Financial,286042,5,0,92657,5.24,26172,236673,1
Vehicle,174604,4,0,29847,4.09,24708,327231,1
Financial,167866,3,1,222,0.73,84675,213559,0
Vehicle,373516,1,1,11437,6.09,40173,498585,0
Vehicle,47139,0,1,17430,7.64,30309,92692,0
Life,326563,2,0,13815,3.51,93188,282300,0
Life,142011,0,1,24911,8.09,47298,133114,0
Financial,263145,1,0,50929,9.12,56542,220913,0
Vehicle,231472,2,1,99437,5.62,54166,486386,1
Vehicle,411293,0,1,1499,8.11,82050,403327,0
Health,304764,2,0,1673,4.43,34327,252089,1
Health,285394,4,0,95946,2.41,85123,205499,1
Life,455974,4,1,24422,6.16,59520,216935,0
Life,7062,4,0,29438,3.65,28409,391513,0
Life,298624,5,0,62291,3.88,41945,275500,0
Vehicle,493117,2,1,26037,2.18,34928,383361,0
Life,16784,1,1,32944,8.15,93617,157273,0
Health,271345,5,1,62761,5.89,27656,53923,0
Health,308022,3,1,32247,0.85,20805,127336,0
Vehicle,385169,0,0,32854,5.77,92272,200670,0
Life,112082,5,1,21603,8.13,45108,280892,0
Vehicle,402549,4,1,82220,6.82,65454,301266,1
Vehicle,472169,4,1,52390,1.11,67645,373402,1
Life,36805,1,0,21485,4.39,71192,418661,0
Life,184139,0,0,93631,7.22,66944,159775,0
Life,227800,1,1,56925,7.65,57865,339148,0
Life,252538,5,0,17940,6.51,45013,274139,0
Life,18974,5,1,71883,5.68,41966,187050,0
Financial,383406,2,1,16680,7.56,73540,226478,0
Financial,118027,4,0,39930,8.39,27172,153275,1
Vehicle,112508,4,1,96065,3.71,99688,247770,1
Life,232760,0,0,94437,7.98,71206,226725,0
Health,350359,4,1,97106,8.68,44006,217907,0
Financial,13305,0,1,52937,2.82,64207,376161,1
Financial,356936,4,0,8826,3.55,87701,388429,0
Financial,128924,1,0,63387,2.45,54961,209655,0
Financial,211254,5,1,97797,6.83,99004,369882,0
Health,480325,0,0,53908,9.57,57575,106472,1
Life,464904,1,0,53822,5.04,54177,223898,0
Financial,89999,1,1,12613,2.44,70911,401028,1
Vehicle,425577,5,0,72325,7.59,76586,62393,1
Vehicle,459015,1,1,50460,0.38,78015,82884,1
Health,239204,5,1,82856,7.23,66587,96112,0
Vehicle,20084,1,0,92624,4.28,25403,292377,1
Financial,283650,2,1,50489,3.73,83591,494342,1
Life,445909,1,0,21995,8.79,92664,362875,0
Financial,281925,0,0,89250,1.6,45394,91748,0
Financial,182595,5,1,96877,9.92,38033,384067,1
Vehicle,157453,1,0,6828,9.03,99184,345136,0
Life,261516,1,0,1713,6.95,71914,352593,0
Financial,193315,5,0,43756,7.08,91985,136069,0
Life,78250,5,0,3044,5.85,60968,75355,0
Vehicle,372747,3,1,9311,7.22,24946,94921,0
Life,326146,4,0,52885,5.25,50278,266816,0
Health,484551,2,0,25431,4.66,83750,341843,1
Financial,356263,0,1,60525,7.95,28301,248848,1
Life,125346,2,0,33259,2.56,48810,180499,0
Financial,221442,3,1,69778,8.93,57095,130969,0
Financial,31850,3,1,11583,8.21,79232,336577,0
Vehicle,162563,2,0,70495,8.23,23811,351399,1
Vehicle,435052,0,1,17615,0.54,30457,270015,0
Vehicle,369880,0,0,43207,1.68,79168,64184,0
Vehicle,117210,5,1,57878,4.98,23104,256444,1
Financial,449443,0,0,876,9.34,64695,167228,0
Financial,369950,5,0,24124,2.44,68960,468346,1
Health,308676,4,0,8210,1.9,95319,252442,1
Health,204796,2,0,92373,0.32,77973,249350,1
Financial,188155,3,1,42082,6.33,34070,327856,1
Financial,399236,2,0,6204,1.34,47045,180343,0
Life,174116,0,1,89132,3.31,46516,393602,0
Financial,123235,4,0,40075,2.33,76951,270944,0
Financial,400288,3,1,20622,9.76,71554,353258,0
Vehicle,140244,0,0,58330,8.05,80481,94550,1
Vehicle,44057,3,0,14766,2.92,38841,83126,0
Life,74973,4,1,17106,7.39,53988,375687,0
Vehicle,283033,1,0,98905,9.93,59064,345406,1
Life,294994,4,0,8425,7.39,65778,343834,0
Vehicle,263700,1,0,23208,1.29,26610,278537,0
Life,53615,1,0,14724,5.01,75008,297003,0
Health,413975,1,0,81408,6.54,27372,158738,1
Vehicle,32331,5,1,94375,7.25,36293,251741,1
Health,170006,1,1,60954,1.11,20434,183822,0
Financial,249053,1,1,10609,3.62,97053,154283,0
Vehicle,189709,2,0,99221,1.26,91130,366616,1
Life,415870,3,1,33033,0.53,88473,446758,1
Vehicle,31340,1,0,90198,9.04,77161,273669,1
Life,161810,1,0,38994,8.59,96380,220669,0
Vehicle,447175,3,0,99985,4.13,67526,229201,1
Vehicle,398617,4,0,89061,2.45,86721,408820,1
Financial,195461,5,1,71492,7.71,72717,350910,0
Vehicle,419685,2,1,93427,0.71,94460,429554,1
Life,122232,1,1,59729,0.16,55100,399588,1
Vehicle,425010,0,0,26822,8.0,73068,102013,0
Life,487974,0,0,95910,7.13,78186,127858,0
Financial,257488,4,0,12020,8.16,20342,322060,1
Life,102600,0,0,60198,3.6,20745,338548,0
Health,78511,0,0,92285,2.04,88772,364008,0
Vehicle,443456,0,0,21286,6.29,42937,262030,0
Life,301452,1,1,10982,2.89,43211,453396,0
Life,391774,3,1,60821,9.85,28360,216305,0
Health,284003,0,1,3267,6.98,90851,89617,0
Life,217863,3,1,35106,6.09,76186,468882,0
Financial,228454,3,1,5766,6.18,56293,200988,0
Life,336813,1,1,44791,2.95,72489,91206,0
Vehicle,303015,0,0,5019,0.73,46267,426954,0
Financial,316316,2,0,40129,7.76,27830,355170,1
Health,460834,3,1,2409,7.64,21511,454749,0
Life,412641,5,0,60497,4.46,95609,314025,0
Life,401584,3,0,59049,1.02,81138,211912,0
Vehicle,183047,1,1,77265,5.45,38289,138384,1
Life,123298,5,0,98030,4.03,69181,379370,0
Health,496511,4,0,83435,0.35,82171,129200,1
Health,394064,0,1,39967,1.6,87543,448182,0
Life,133068,3,1,9282,9.54,57388,348470,0
Financial,116895,5,0,60460,6.09,31622,400755,1
Life,420238,0,1,70631,6.11,34484,314567,0
Health,108499,2,0,42042,8.71,79560,193885,1
Health,210522,0,0,52264,2.54,96465,196475,1
Health,126422,2,1,88614,2.97,57607,264026,0
Vehicle,481892,1,1,96348,5.88,73566,60797,1
Financial,172379,5,0,86192,9.79,98932,393151,0
Health,82780,0,1,92920,6.78,57011,474807,0
Vehicle,141476,3,1,18697,1.81,23576,300648,0
Life,113270,2,1,37928,8.54,68097,331489,0
Health,87870,0,1,17533,8.52,86836,332262,0
Vehicle,210514,4,0,21010,6.65,33383,168459,1
Financial,38000,2,1,72259,2.06,63444,491364,1
Financial,50287,1,0,21523,3.84,83992,474379,1
Vehicle,264098,2,1,41833,7.9,83501,160940,0
Life,266937,3,0,7352,3.6,48725,449128,0
Life,197484,1,1,30070,2.15,95687,261609,0
Financial,15017,2,1,61135,6.7,73551,258791,0
Vehicle,178882,5,1,19468,5.32,90687,394491,1
Vehicle,150320,3,1,81750,8.39,80253,224997,1
Health,374835,0,0,37674,1.12,50257,471381,1
Financial,82453,5,1,68748,0.48,73845,458896,1
Vehicle,237940,4,0,24237,6.82,37322,159290,1
Financial,360935,0,1,90826,5.53,42631,272783,1
Life,276998,1,1,10800,3.74,55166,471652,0
Financial,197782,2,0,18833,4.57,24286,195358,1
Health,409663,2,0,14474,9.96,64345,114859,1
Life,363466,3,0,63567,5.0,33284,335544,0
Life,192398,2,1,29739,6.52,56694,65061,0
Financial,434665,4,0,16541,0.44,57844,170852,0
Life,211158,1,0,75815,7.46,33706,328103,0
Financial,50488,5,1,37567,0.97,55677,284817,1
Financial,255337,1,0,55609,3.43,88639,108810,0
Health,448296,4,1,44908,2.2,75532,474095,0
Health,408771,1,1,229,5.91,41879,183176,0
Health,44400,5,0,44535,7.84,80626,460508,0
Financial,353546,4,0,33303,1.81,35782,456112,1
Vehicle,114973,3,0,93487,9.89,78514,300117,1
Vehicle,344582,5,0,48846,7.84,57402,62154,1
Vehicle,86782,0,0,89687,4.52,62778,479080,1
Health,156899,4,0,18402,7.75,41686,496101,1
Health,313526,0,1,37625,0.36,29280,491705,0
Financial,274440,1,0,88894,8.68,43839,415047,1
Financial,439755,2,1,6672,2.1,84735,79579,0
Health,467164,1,0,75798,1.25,52562,390131,1
Life,257012,5,0,317,2.81,98885,337628,0
Vehicle,39932,4,1,49255,2.51,54055,209882,1
Vehicle,354646,5,0,16604,7.44,47596,395839,1
Financial,237445,0,1,56348,8.07,77127,152783,0
Financial,213080,2,0,90694,4.21,73378,191608,0
Vehicle,476403,0,1,77055,7.29,30662,412622,1
Financial,95190,2,0,66387,2.17,55073,183200,0
Health,352423,2,0,84856,4.17,44201,387357,1
Financial,253362,3,1,78403,4.82,31889,163034,1
Vehicle,174893,1,1,16677,8.65,31806,443622,0
Vehicle,387980,4,0,78786,7.5,82704,349577,1
Financial,368304,2,1,89739,3.51,58162,241489,0
Vehicle,455990,1,1,76889,4.44,43262,187080,1
Financial,246272,2,1,37689,8.74,68122,181390,0
Financial,200894,2,0,34356,5.49,69509,393863,1
Life,337750,3,1,74293,1.28,69525,400683,0
Vehicle,461713,5,1,82925,8.38,63741,284671,1
Financial,68694,4,0,44690,8.6,61473,360391,1
Financial,226284,0,1,15151,5.46,85728,198579,0
Vehicle,187463,1,1,82718,4.32,67646,315925,1
Vehicle,464987,3,0,48594,9.38,54074,210535,0
Life,378566,1,1,1054,1.99,23444,475851,0
Vehicle,368089,1,1,27403,7.4,29434,219476,0
Financial,472916,5,0,3886,7.93,37591,251330,1
Financial,349706,1,0,57803,3.32,73304,451561,1
Vehicle,160904,1,0,57542,7.24,36432,250140,1
Health,343991,2,0,19103,7.81,27030,56936,1
Vehicle,114074,3,0,99608,1.89,41077,439152,1
Life,401397,1,1,29302,1.99,40787,445769,0
Health,299736,0,0,80329,3.84,87943,52040,1
Vehicle,390529,0,1,48575,0.81,63619,325970,0
Life,345458,4,0,18973,5.64,84704,424172,0
Vehicle,204217,5,1,63183,5.92,52929,257049,1
Life,396663,3,0,54582,3.29,64881,470780,0
Vehicle,202672,3,1,20445,6.47,93953,329726,0
Vehicle,170480,1,1,46033,3.67,20496,338784,0
Health,380046,4,0,96081,2.96,78449,494864,1
Financial,460789,5,1,25899,0.39,29831,165782,1
Financial,104022,4,0,63240,7.04,50245,405022,1
Vehicle,153476,1,1,19703,1.04,97165,294602,0
Financial,273118,4,1,86120,4.71,57481,206550,0
Life,240646,4,1,81620,2.22,29600,164229,0
Financial,131842,2,0,85789,8.7,64108,433182,1
Health,184047,0,0,11478,1.17,34406,341378,1
Vehicle,129227,5,0,73305,8.55,61415,490946,1
Health,448368,4,1,78410,1.81,32583,288593,0
Health,411009,5,0,94654,8.2,89225,183895,1
Health,352133,0,1,27491,6.48,41826,362156,0
Vehicle,327500,2,1,89505,3.45,85140,144609,1
Financial,15054,5,0,79555,3.88,89974,65529,0
Vehicle,189723,0,0,74257,7.06,26870,130053,1
Financial,9668,1,0,45592,4.46,24836,398903,1
Financial,63154,1,1,29113,7.44,25485,381401,1
Financial,112023,0,1,23742,2.05,30680,486109,1
Vehicle,142142,5,1,22679,0.19,48020,136710,1
Life,312742,1,1,55685,5.29,31714,341988,0
Financial,460056,3,0,20972,2.04,81410,499657,1
Life,380471,2,1,47248,0.16,42191,107538,1
Health,426882,4,0,53512,9.08,98455,57712,1
Financial,166419,5,0,21005,8.74,46878,81722,0
Health,415807,3,1,26876,3.73,51971,214381,0
Health,391403,5,0,45723,6.04,52176,212584,1
Life,214301,2,1,29242,1.2,41983,259970,0
Life,113438,1,0,64623,7.66,65070,281121,0
Health,63048,2,0,33675,6.18,29111,298612,0
Health,450626,3,1,48836,8.18,45606,404684,0
Vehicle,340135,5,1,40561,5.36,20008,492232,1
Vehicle,394060,0,0,8282,5.41,94718,451998,0
Financial,466356,1,0,13877,6.09,89210,223942,0
Vehicle,141042,1,1,18616,4.36,34049,56230,0
Life,363306,1,0,69634,4.63,62163,170238,0
Life,225506,0,1,48290,4.89,71192,293215,0
Financial,22679,5,1,51440,0.39,90898,334753,0
Health,336906,3,0,6362,1.47,66838,77098,1
Health,47369,5,0,49253,8.2,41399,199132,0
Financial,101647,0,1,80135,2.89,67615,345236,1
Vehicle,155975,4,0,39323,1.42,29759,477052,1
Vehicle,355439,2,0,71126,2.76,46018,58295,1
Health,112499,0,0,71203,0.05,35423,124764,1
Financial,472064,3,0,39598,5.56,77635,468616,1
Life,387274,4,1,66991,2.86,42447,89689,0
Vehicle,329386,5,0,44087,1.12,54849,496205,1
Financial,60436,2,1,47030,2.64,64163,168656,0
Health,221367,5,0,73044,8.52,88548,389937,1
Health,330573,2,1,94532,8.87,92121,132816,0
Life,457768,2,0,1050,1.7,52634,280905,0
Health,252899,5,1,85030,8.0,62247,152140,0
Financial,354444,0,1,59446,9.41,55440,145720,0
Vehicle,347215,2,0,94289,8.7,22641,343674,1
Vehicle,46588,3,1,27022,0.95,37659,184960,0
Vehicle,86036,0,1,82324,2.37,64023,272763,1
